,FECHA,TMAX,TMIN,T_AVE,NOMBRE
103,2022-12-02,24.3,15.6,19.95,AEROPARQUE AERO
1562,2022-12-03,33.3,13.9,23.6,NUEVE DE JULIO
1197,2022-12-03,28.4,15.8,22.1,MORON AERO
832,2022-12-03,30.0,15.2,22.6,EL PALOMAR AERO
467,2022-12-03,27.0,19.0,23.0,BUENOS AIRES OBSERVATORIO
102,2022-12-03,25.6,18.6,22.1,AEROPARQUE AERO
1561,2022-12-04,36.6,16.3,26.450000000000003,NUEVE DE JULIO
1196,2022-12-04,34.5,14.4,24.45,MORON AERO
831,2022-12-04,34.3,13.0,23.65,EL PALOMAR AERO
466,2022-12-04,32.5,17.6,25.05,BUENOS AIRES OBSERVATORIO
101,2022-12-04,28.7,18.8,23.75,AEROPARQUE AERO
1560,2022-12-05,39.5,19.8,29.65,NUEVE DE JULIO
1195,2022-12-05,36.0,22.3,29.15,MORON AERO
830,2022-12-05,35.0,18.4,26.7,EL PALOMAR AERO
465,2022-12-05,34.1,22.3,28.200000000000003,BUENOS AIRES OBSERVATORIO
100,2022-12-05,31.6,23.1,27.35,AEROPARQUE AERO
1559,2022-12-06,38.3,22.2,30.25,NUEVE DE JULIO
1194,2022-12-06,36.4,23.6,30.0,MORON AERO
829,2022-12-06,35.5,22.2,28.85,EL PALOMAR AERO
464,2022-12-06,35.0,23.0,29.0,BUENOS AIRES OBSERVATORIO
99,2022-12-06,32.9,23.2,28.05,AEROPARQUE AERO
1558,2022-12-07,32.3,20.3,26.3,NUEVE DE JULIO
1193,2022-12-07,33.6,25.3,29.450000000000003,MORON AERO
828,2022-12-07,34.1,23.5,28.8,EL PALOMAR AERO
463,2022-12-07,34.0,25.7,29.85,BUENOS AIRES OBSERVATORIO
98,2022-12-07,33.3,25.3,29.3,AEROPARQUE AERO
1557,2022-12-08,35.0,18.7,26.85,NUEVE DE JULIO
1192,2022-12-08,36.0,20.7,28.35,MORON AERO
827,2022-12-08,36.6,21.0,28.8,EL PALOMAR AERO
462,2022-12-08,36.1,22.0,29.05,BUENOS AIRES OBSERVATORIO
97,2022-12-08,34.8,21.1,27.95,AEROPARQUE AERO
1556,2022-12-09,38.2,20.5,29.35,NUEVE DE JULIO
1191,2022-12-09,38.5,22.7,30.6,MORON AERO
826,2022-12-09,38.5,19.6,29.05,EL PALOMAR AERO
461,2022-12-09,38.2,23.7,30.950000000000003,BUENOS AIRES OBSERVATORIO
96,2022-12-09,34.6,22.4,28.5,AEROPARQUE AERO
1555,2022-12-10,35.0,15.9,25.45,NUEVE DE JULIO
1190,2022-12-10,31.0,20.3,25.65,MORON AERO
825,2022-12-10,31.0,20.9,25.95,EL PALOMAR AERO
460,2022-12-10,29.8,21.6,25.700000000000003,BUENOS AIRES OBSERVATORIO
95,2022-12-10,28.0,21.6,24.8,AEROPARQUE AERO
1554,2022-12-11,36.2,20.4,28.3,NUEVE DE JULIO
1189,2022-12-11,38.0,23.5,30.75,MORON AERO
824,2022-12-11,38.4,22.8,30.6,EL PALOMAR AERO
459,2022-12-11,37.7,23.1,30.4,BUENOS AIRES OBSERVATORIO
94,2022-12-11,35.9,23.8,29.85,AEROPARQUE AERO
1553,2022-12-12,29.9,13.8,21.85,NUEVE DE JULIO
1188,2022-12-12,30.0,16.3,23.15,MORON AERO
823,2022-12-12,29.0,15.4,22.2,EL PALOMAR AERO
458,2022-12-12,28.5,18.2,23.35,BUENOS AIRES OBSERVATORIO
93,2022-12-12,27.6,18.4,23.0,AEROPARQUE AERO
1552,2022-12-13,30.4,12.4,21.4,NUEVE DE JULIO
1187,2022-12-13,30.0,13.5,21.75,MORON AERO
822,2022-12-13,29.5,13.0,21.25,EL PALOMAR AERO
457,2022-12-13,27.5,15.9,21.7,BUENOS AIRES OBSERVATORIO
92,2022-12-13,26.5,16.8,21.65,AEROPARQUE AERO
1551,2022-12-14,36.8,17.3,27.05,NUEVE DE JULIO
1186,2022-12-14,33.9,19.9,26.9,MORON AERO
821,2022-12-14,33.0,17.2,25.1,EL PALOMAR AERO
456,2022-12-14,32.4,21.5,26.95,BUENOS AIRES OBSERVATORIO
91,2022-12-14,30.7,20.5,25.6,AEROPARQUE AERO
1550,2022-12-15,31.2,17.4,24.3,NUEVE DE JULIO
1185,2022-12-15,29.9,18.1,24.0,MORON AERO
820,2022-12-15,29.3,18.1,23.700000000000003,EL PALOMAR AERO
455,2022-12-15,29.7,18.1,23.9,BUENOS AIRES OBSERVATORIO
90,2022-12-15,29.1,18.6,23.85,AEROPARQUE AERO
1549,2022-12-16,29.2,13.3,21.25,NUEVE DE JULIO
1184,2022-12-16,24.8,15.3,20.05,MORON AERO
819,2022-12-16,24.5,15.5,20.0,EL PALOMAR AERO
454,2022-12-16,24.6,16.3,20.450000000000003,BUENOS AIRES OBSERVATORIO
89,2022-12-16,23.1,17.3,20.200000000000003,AEROPARQUE AERO
1548,2022-12-17,29.1,11.9,20.5,NUEVE DE JULIO
1183,2022-12-17,26.5,14.6,20.55,MORON AERO
818,2022-12-17,26.5,16.6,21.55,EL PALOMAR AERO
453,2022-12-17,26.1,17.6,21.85,BUENOS AIRES OBSERVATORIO
88,2022-12-17,25.1,17.4,21.25,AEROPARQUE AERO
1547,2022-12-18,32.1,14.8,23.450000000000003,NUEVE DE JULIO
1182,2022-12-18,28.4,19.3,23.85,MORON AERO
817,2022-12-18,28.5,19.1,23.8,EL PALOMAR AERO
452,2022-12-18,28.2,19.7,23.95,BUENOS AIRES OBSERVATORIO
87,2022-12-18,27.2,19.5,23.35,AEROPARQUE AERO
1546,2022-12-19,33.5,15.8,24.65,NUEVE DE JULIO
1181,2022-12-19,30.2,20.4,25.3,MORON AERO
816,2022-12-19,30.0,20.5,25.25,EL PALOMAR AERO
451,2022-12-19,30.4,21.2,25.8,BUENOS AIRES OBSERVATORIO
86,2022-12-19,27.8,20.4,24.1,AEROPARQUE AERO
1545,2022-12-20,34.4,17.3,25.85,NUEVE DE JULIO
1180,2022-12-20,31.3,21.3,26.3,MORON AERO
815,2022-12-20,31.5,22.0,26.75,EL PALOMAR AERO
450,2022-12-20,31.0,21.7,26.35,BUENOS AIRES OBSERVATORIO
85,2022-12-20,29.6,21.6,25.6,AEROPARQUE AERO
1544,2022-12-21,33.4,18.9,26.15,NUEVE DE JULIO
1179,2022-12-21,31.0,20.9,25.95,MORON AERO
814,2022-12-21,30.7,21.2,25.95,EL PALOMAR AERO
449,2022-12-21,30.2,21.4,25.8,BUENOS AIRES OBSERVATORIO
84,2022-12-21,28.1,20.8,24.450000000000003,AEROPARQUE AERO
1543,2022-12-22,35.4,18.2,26.8,NUEVE DE JULIO
1178,2022-12-22,33.0,22.5,27.75,MORON AERO
813,2022-12-22,33.0,22.0,27.5,EL PALOMAR AERO
448,2022-12-22,32.2,22.4,27.3,BUENOS AIRES OBSERVATORIO
83,2022-12-22,30.1,21.7,25.9,AEROPARQUE AERO
1542,2022-12-23,30.4,19.6,25.0,NUEVE DE JULIO
1177,2022-12-23,29.0,20.5,24.75,MORON AERO
812,2022-12-23,29.0,20.4,24.7,EL PALOMAR AERO
447,2022-12-23,28.3,20.6,24.450000000000003,BUENOS AIRES OBSERVATORIO
82,2022-12-23,27.1,21.1,24.1,AEROPARQUE AERO
1541,2022-12-24,25.5,14.6,20.05,NUEVE DE JULIO
1176,2022-12-24,24.5,17.3,20.9,MORON AERO
811,2022-12-24,24.2,17.8,21.0,EL PALOMAR AERO
446,2022-12-24,24.4,17.8,21.1,BUENOS AIRES OBSERVATORIO
81,2022-12-24,24.2,17.5,20.85,AEROPARQUE AERO
1540,2022-12-25,26.5,11.3,18.9,NUEVE DE JULIO
1175,2022-12-25,24.7,10.4,17.55,MORON AERO
810,2022-12-25,25.0,8.7,16.85,EL PALOMAR AERO
445,2022-12-25,25.2,11.8,18.5,BUENOS AIRES OBSERVATORIO
80,2022-12-25,24.1,13.7,18.9,AEROPARQUE AERO
1539,2022-12-26,30.8,13.7,22.25,NUEVE DE JULIO
1174,2022-12-26,29.5,14.1,21.8,MORON AERO
809,2022-12-26,29.4,10.0,19.7,EL PALOMAR AERO
444,2022-12-26,29.6,15.2,22.4,BUENOS AIRES OBSERVATORIO
79,2022-12-26,26.6,16.8,21.700000000000003,AEROPARQUE AERO
1538,2022-12-27,34.1,16.1,25.1,NUEVE DE JULIO
1173,2022-12-27,31.9,17.8,24.85,MORON AERO
808,2022-12-27,31.5,14.0,22.75,EL PALOMAR AERO
443,2022-12-27,31.1,19.4,25.25,BUENOS AIRES OBSERVATORIO
78,2022-12-27,29.7,19.2,24.45,AEROPARQUE AERO
1537,2022-12-28,30.9,11.3,21.1,NUEVE DE JULIO
1172,2022-12-28,31.5,21.4,26.45,MORON AERO
807,2022-12-28,31.0,20.0,25.5,EL PALOMAR AERO
442,2022-12-28,31.0,22.3,26.65,BUENOS AIRES OBSERVATORIO
77,2022-12-28,31.1,20.8,25.950000000000003,AEROPARQUE AERO
1536,2022-12-29,32.6,14.4,23.5,NUEVE DE JULIO
1171,2022-12-29,30.7,14.9,22.8,MORON AERO
806,2022-12-29,30.6,13.5,22.05,EL PALOMAR AERO
441,2022-12-29,30.6,16.1,23.35,BUENOS AIRES OBSERVATORIO
76,2022-12-29,27.5,18.7,23.1,AEROPARQUE AERO
1535,2022-12-30,38.8,18.7,28.75,NUEVE DE JULIO
1170,2022-12-30,37.8,19.7,28.75,MORON AERO
805,2022-12-30,37.5,19.3,28.4,EL PALOMAR AERO
440,2022-12-30,36.8,20.6,28.7,BUENOS AIRES OBSERVATORIO
75,2022-12-30,35.1,21.3,28.200000000000003,AEROPARQUE AERO
1534,2022-12-31,34.2,17.8,26.0,NUEVE DE JULIO
1169,2022-12-31,31.6,21.1,26.35,MORON AERO
804,2022-12-31,31.0,22.0,26.5,EL PALOMAR AERO
439,2022-12-31,32.0,22.5,27.25,BUENOS AIRES OBSERVATORIO
74,2022-12-31,31.6,22.2,26.9,AEROPARQUE AERO
1533,2023-01-01,27.9,17.6,22.75,NUEVE DE JULIO
1168,2023-01-01,27.0,19.3,23.15,MORON AERO
803,2023-01-01,25.5,19.0,22.25,EL PALOMAR AERO
438,2023-01-01,26.9,20.2,23.55,BUENOS AIRES OBSERVATORIO
73,2023-01-01,26.6,19.5,23.05,AEROPARQUE AERO
1532,2023-01-02,30.8,13.7,22.25,NUEVE DE JULIO
1167,2023-01-02,30.3,16.3,23.3,MORON AERO
802,2023-01-02,30.0,16.5,23.25,EL PALOMAR AERO
437,2023-01-02,30.5,17.1,23.8,BUENOS AIRES OBSERVATORIO
72,2023-01-02,30.7,16.9,23.8,AEROPARQUE AERO
1531,2023-01-03,29.5,17.6,23.55,NUEVE DE JULIO
1166,2023-01-03,32.4,18.3,25.35,MORON AERO
801,2023-01-03,32.6,16.8,24.700000000000003,EL PALOMAR AERO
436,2023-01-03,32.9,19.7,26.3,BUENOS AIRES OBSERVATORIO
71,2023-01-03,32.6,19.0,25.8,AEROPARQUE AERO
1530,2023-01-04,33.6,15.2,24.4,NUEVE DE JULIO
1165,2023-01-04,31.4,16.3,23.85,MORON AERO
800,2023-01-04,31.5,12.0,21.75,EL PALOMAR AERO
435,2023-01-04,31.2,15.8,23.5,BUENOS AIRES OBSERVATORIO
70,2023-01-04,28.1,18.8,23.450000000000003,AEROPARQUE AERO
1529,2023-01-05,35.2,16.4,25.8,NUEVE DE JULIO
1164,2023-01-05,33.1,19.2,26.15,MORON AERO
799,2023-01-05,33.0,18.8,25.9,EL PALOMAR AERO
434,2023-01-05,32.7,19.8,26.25,BUENOS AIRES OBSERVATORIO
69,2023-01-05,31.9,20.0,25.95,AEROPARQUE AERO
1528,2023-01-06,36.7,19.2,27.950000000000003,NUEVE DE JULIO
1163,2023-01-06,34.0,21.1,27.55,MORON AERO
798,2023-01-06,33.9,22.0,27.95,EL PALOMAR AERO
433,2023-01-06,33.9,23.5,28.7,BUENOS AIRES OBSERVATORIO
68,2023-01-06,32.1,23.3,27.700000000000003,AEROPARQUE AERO
1527,2023-01-07,37.0,20.1,28.55,NUEVE DE JULIO
1162,2023-01-07,33.1,22.7,27.9,MORON AERO
797,2023-01-07,33.0,23.0,28.0,EL PALOMAR AERO
432,2023-01-07,32.8,23.4,28.1,BUENOS AIRES OBSERVATORIO
67,2023-01-07,30.6,22.5,26.55,AEROPARQUE AERO
1526,2023-01-08,36.8,18.3,27.55,NUEVE DE JULIO
1161,2023-01-08,32.8,23.0,27.9,MORON AERO
796,2023-01-08,32.5,23.0,27.75,EL PALOMAR AERO
431,2023-01-08,32.2,23.2,27.700000000000003,BUENOS AIRES OBSERVATORIO
66,2023-01-08,29.6,22.8,26.200000000000003,AEROPARQUE AERO
1525,2023-01-09,36.5,17.6,27.05,NUEVE DE JULIO
1160,2023-01-09,33.9,22.0,27.95,MORON AERO
795,2023-01-09,33.0,22.8,27.9,EL PALOMAR AERO
430,2023-01-09,32.2,23.2,27.700000000000003,BUENOS AIRES OBSERVATORIO
65,2023-01-09,29.1,22.5,25.8,AEROPARQUE AERO
1524,2023-01-10,38.0,16.9,27.45,NUEVE DE JULIO
1159,2023-01-10,35.4,21.6,28.5,MORON AERO
794,2023-01-10,34.8,22.5,28.65,EL PALOMAR AERO
429,2023-01-10,33.6,23.0,28.3,BUENOS AIRES OBSERVATORIO
64,2023-01-10,29.9,22.6,26.25,AEROPARQUE AERO
1523,2023-01-11,29.8,20.4,25.1,NUEVE DE JULIO
1158,2023-01-11,27.5,21.4,24.45,MORON AERO
793,2023-01-11,28.5,20.5,24.5,EL PALOMAR AERO
428,2023-01-11,28.0,22.7,25.35,BUENOS AIRES OBSERVATORIO
63,2023-01-11,28.6,23.4,26.0,AEROPARQUE AERO
1522,2023-01-12,29.5,16.4,22.95,NUEVE DE JULIO
1157,2023-01-12,30.0,16.7,23.35,MORON AERO
792,2023-01-12,30.0,16.1,23.05,EL PALOMAR AERO
427,2023-01-12,30.1,18.0,24.05,BUENOS AIRES OBSERVATORIO
62,2023-01-12,30.6,18.2,24.4,AEROPARQUE AERO
1521,2023-01-13,31.2,15.0,23.1,NUEVE DE JULIO
1156,2023-01-13,30.7,17.9,24.3,MORON AERO
791,2023-01-13,30.5,14.4,22.45,EL PALOMAR AERO
426,2023-01-13,31.6,18.6,25.1,BUENOS AIRES OBSERVATORIO
61,2023-01-13,30.8,21.5,26.15,AEROPARQUE AERO
1520,2023-01-14,34.7,14.8,24.75,NUEVE DE JULIO
1155,2023-01-14,32.8,17.4,25.1,MORON AERO
790,2023-01-14,33.0,13.0,23.0,EL PALOMAR AERO
425,2023-01-14,32.2,20.7,26.450000000000003,BUENOS AIRES OBSERVATORIO
60,2023-01-14,31.0,20.3,25.65,AEROPARQUE AERO
1519,2023-01-15,36.6,17.7,27.15,NUEVE DE JULIO
1154,2023-01-15,36.0,19.3,27.65,MORON AERO
789,2023-01-15,35.5,12.8,24.15,EL PALOMAR AERO
424,2023-01-15,34.9,20.4,27.65,BUENOS AIRES OBSERVATORIO
59,2023-01-15,33.1,23.5,28.3,AEROPARQUE AERO
1518,2023-01-16,36.1,18.3,27.200000000000003,NUEVE DE JULIO
1153,2023-01-16,37.4,24.9,31.15,MORON AERO
788,2023-01-16,37.0,24.3,30.65,EL PALOMAR AERO
423,2023-01-16,36.5,24.9,30.7,BUENOS AIRES OBSERVATORIO
58,2023-01-16,32.7,24.8,28.75,AEROPARQUE AERO
1517,2023-01-17,38.2,20.8,29.5,NUEVE DE JULIO
1152,2023-01-17,37.0,26.2,31.6,MORON AERO
787,2023-01-17,36.3,26.0,31.15,EL PALOMAR AERO
422,2023-01-17,36.0,25.9,30.95,BUENOS AIRES OBSERVATORIO
57,2023-01-17,34.2,25.8,30.0,AEROPARQUE AERO
1516,2023-01-18,31.0,22.6,26.8,NUEVE DE JULIO
1151,2023-01-18,30.0,22.9,26.45,MORON AERO
786,2023-01-18,29.5,22.6,26.05,EL PALOMAR AERO
421,2023-01-18,29.7,23.1,26.4,BUENOS AIRES OBSERVATORIO
56,2023-01-18,29.0,22.4,25.7,AEROPARQUE AERO
1515,2023-01-19,37.0,19.2,28.1,NUEVE DE JULIO
1150,2023-01-19,34.3,24.7,29.5,MORON AERO
785,2023-01-19,33.9,23.3,28.6,EL PALOMAR AERO
420,2023-01-19,32.7,24.0,28.35,BUENOS AIRES OBSERVATORIO
55,2023-01-19,30.6,23.6,27.1,AEROPARQUE AERO
1514,2023-01-20,31.3,20.9,26.1,NUEVE DE JULIO
1149,2023-01-20,33.0,20.6,26.8,MORON AERO
784,2023-01-20,33.0,21.2,27.1,EL PALOMAR AERO
419,2023-01-20,33.0,22.0,27.5,BUENOS AIRES OBSERVATORIO
54,2023-01-20,31.6,21.3,26.450000000000003,AEROPARQUE AERO
1513,2023-01-21,33.1,17.8,25.450000000000003,NUEVE DE JULIO
1148,2023-01-21,32.5,19.5,26.0,MORON AERO
783,2023-01-21,32.5,20.6,26.55,EL PALOMAR AERO
418,2023-01-21,32.5,21.8,27.15,BUENOS AIRES OBSERVATORIO
53,2023-01-21,32.6,21.9,27.25,AEROPARQUE AERO
1512,2023-01-22,35.5,18.9,27.2,NUEVE DE JULIO
1147,2023-01-22,34.5,18.9,26.7,MORON AERO
782,2023-01-22,35.2,17.4,26.3,EL PALOMAR AERO
417,2023-01-22,35.4,19.4,27.4,BUENOS AIRES OBSERVATORIO
52,2023-01-22,35.2,22.5,28.85,AEROPARQUE AERO
1511,2023-01-23,33.8,18.2,26.0,NUEVE DE JULIO
1146,2023-01-23,32.6,20.8,26.700000000000003,MORON AERO
781,2023-01-23,34.0,19.0,26.5,EL PALOMAR AERO
416,2023-01-23,31.7,21.0,26.35,BUENOS AIRES OBSERVATORIO
51,2023-01-23,29.5,22.3,25.9,AEROPARQUE AERO
1510,2023-01-24,32.4,18.5,25.45,NUEVE DE JULIO
1145,2023-01-24,33.8,22.0,27.9,MORON AERO
780,2023-01-24,35.1,21.6,28.35,EL PALOMAR AERO
415,2023-01-24,34.6,23.0,28.8,BUENOS AIRES OBSERVATORIO
50,2023-01-24,33.6,23.0,28.3,AEROPARQUE AERO
1509,2023-01-25,32.0,15.3,23.65,NUEVE DE JULIO
1144,2023-01-25,34.6,19.5,27.05,MORON AERO
779,2023-01-25,34.2,19.6,26.9,EL PALOMAR AERO
414,2023-01-25,34.2,20.7,27.450000000000003,BUENOS AIRES OBSERVATORIO
49,2023-01-25,32.6,20.9,26.75,AEROPARQUE AERO
1508,2023-01-26,34.3,20.8,27.55,NUEVE DE JULIO
1143,2023-01-26,32.5,22.6,27.55,MORON AERO
778,2023-01-26,32.5,24.5,28.5,EL PALOMAR AERO
413,2023-01-26,32.2,25.0,28.6,BUENOS AIRES OBSERVATORIO
48,2023-01-26,31.7,24.8,28.25,AEROPARQUE AERO
1507,2023-01-27,29.4,17.9,23.65,NUEVE DE JULIO
1142,2023-01-27,30.2,19.9,25.05,MORON AERO
777,2023-01-27,28.5,20.0,24.25,EL PALOMAR AERO
412,2023-01-27,28.8,20.9,24.85,BUENOS AIRES OBSERVATORIO
47,2023-01-27,27.7,20.0,23.85,AEROPARQUE AERO
1506,2023-01-28,33.0,19.8,26.4,NUEVE DE JULIO
1141,2023-01-28,32.4,18.9,25.65,MORON AERO
776,2023-01-28,33.4,18.0,25.7,EL PALOMAR AERO
411,2023-01-28,32.1,20.8,26.450000000000003,BUENOS AIRES OBSERVATORIO
46,2023-01-28,29.3,21.8,25.55,AEROPARQUE AERO
1505,2023-01-29,31.6,19.9,25.75,NUEVE DE JULIO
1140,2023-01-29,31.7,21.7,26.7,MORON AERO
775,2023-01-29,30.3,20.3,25.3,EL PALOMAR AERO
410,2023-01-29,29.5,22.5,26.0,BUENOS AIRES OBSERVATORIO
45,2023-01-29,28.5,23.3,25.9,AEROPARQUE AERO
1504,2023-01-30,31.2,15.7,23.45,NUEVE DE JULIO
1139,2023-01-30,30.6,18.7,24.65,MORON AERO
774,2023-01-30,30.5,21.6,26.05,EL PALOMAR AERO
409,2023-01-30,30.0,21.6,25.8,BUENOS AIRES OBSERVATORIO
44,2023-01-30,27.6,21.6,24.6,AEROPARQUE AERO
1503,2023-01-31,32.1,17.9,25.0,NUEVE DE JULIO
1138,2023-01-31,31.8,21.6,26.700000000000003,MORON AERO
773,2023-01-31,31.9,19.8,25.85,EL PALOMAR AERO
408,2023-01-31,30.7,22.0,26.35,BUENOS AIRES OBSERVATORIO
43,2023-01-31,28.6,23.1,25.85,AEROPARQUE AERO
1502,2023-02-01,27.0,20.1,23.55,NUEVE DE JULIO
1137,2023-02-01,28.4,21.3,24.85,MORON AERO
772,2023-02-01,28.0,23.2,25.6,EL PALOMAR AERO
407,2023-02-01,28.1,23.7,25.9,BUENOS AIRES OBSERVATORIO
42,2023-02-01,27.4,23.2,25.3,AEROPARQUE AERO
1501,2023-02-02,27.4,19.4,23.4,NUEVE DE JULIO
1136,2023-02-02,26.1,22.3,24.200000000000003,MORON AERO
771,2023-02-02,27.4,21.4,24.4,EL PALOMAR AERO
406,2023-02-02,28.0,21.6,24.8,BUENOS AIRES OBSERVATORIO
41,2023-02-02,27.0,22.2,24.6,AEROPARQUE AERO
1500,2023-02-03,28.8,16.6,22.700000000000003,NUEVE DE JULIO
1135,2023-02-03,28.0,18.8,23.4,MORON AERO
770,2023-02-03,28.5,19.0,23.75,EL PALOMAR AERO
405,2023-02-03,27.2,18.8,23.0,BUENOS AIRES OBSERVATORIO
40,2023-02-03,26.6,19.2,22.9,AEROPARQUE AERO
1499,2023-02-04,30.8,15.6,23.2,NUEVE DE JULIO
1134,2023-02-04,28.5,15.5,22.0,MORON AERO
769,2023-02-04,29.3,16.0,22.65,EL PALOMAR AERO
404,2023-02-04,29.8,17.8,23.8,BUENOS AIRES OBSERVATORIO
39,2023-02-04,29.8,18.8,24.3,AEROPARQUE AERO
1498,2023-02-05,32.0,17.6,24.8,NUEVE DE JULIO
1133,2023-02-05,31.6,16.3,23.950000000000003,MORON AERO
768,2023-02-05,32.0,13.3,22.65,EL PALOMAR AERO
403,2023-02-05,32.0,17.5,24.75,BUENOS AIRES OBSERVATORIO
38,2023-02-05,29.1,19.2,24.15,AEROPARQUE AERO
1497,2023-02-06,34.5,17.3,25.9,NUEVE DE JULIO
1132,2023-02-06,34.6,20.9,27.75,MORON AERO
767,2023-02-06,33.5,16.2,24.85,EL PALOMAR AERO
402,2023-02-06,33.3,22.0,27.65,BUENOS AIRES OBSERVATORIO
37,2023-02-06,31.6,22.3,26.950000000000003,AEROPARQUE AERO
1496,2023-02-07,36.0,19.0,27.5,NUEVE DE JULIO
1131,2023-02-07,36.7,24.3,30.5,MORON AERO
766,2023-02-07,36.3,23.0,29.65,EL PALOMAR AERO
401,2023-02-07,35.3,24.0,29.65,BUENOS AIRES OBSERVATORIO
36,2023-02-07,32.1,23.8,27.950000000000003,AEROPARQUE AERO
1495,2023-02-08,33.3,22.3,27.8,NUEVE DE JULIO
1130,2023-02-08,33.0,24.0,28.5,MORON AERO
765,2023-02-08,33.5,22.5,28.0,EL PALOMAR AERO
400,2023-02-08,32.7,25.8,29.25,BUENOS AIRES OBSERVATORIO
35,2023-02-08,31.3,25.2,28.25,AEROPARQUE AERO
1494,2023-02-09,36.5,19.5,28.0,NUEVE DE JULIO
1129,2023-02-09,36.0,19.4,27.7,MORON AERO
764,2023-02-09,35.3,18.0,26.65,EL PALOMAR AERO
399,2023-02-09,34.2,21.7,27.950000000000003,BUENOS AIRES OBSERVATORIO
34,2023-02-09,32.1,22.8,27.450000000000003,AEROPARQUE AERO
1493,2023-02-10,37.1,20.3,28.700000000000003,NUEVE DE JULIO
1128,2023-02-10,37.5,24.1,30.8,MORON AERO
763,2023-02-10,37.5,19.4,28.45,EL PALOMAR AERO
398,2023-02-10,36.4,24.4,30.4,BUENOS AIRES OBSERVATORIO
33,2023-02-10,34.1,25.2,29.65,AEROPARQUE AERO
1492,2023-02-11,38.5,21.3,29.9,NUEVE DE JULIO
1127,2023-02-11,38.8,25.1,31.95,MORON AERO
762,2023-02-11,38.5,21.0,29.75,EL PALOMAR AERO
397,2023-02-11,37.8,25.5,31.65,BUENOS AIRES OBSERVATORIO
32,2023-02-11,36.6,27.0,31.8,AEROPARQUE AERO
1491,2023-02-12,38.8,21.7,30.25,NUEVE DE JULIO
1126,2023-02-12,40.0,29.0,34.5,MORON AERO
761,2023-02-12,39.5,28.5,34.0,EL PALOMAR AERO
396,2023-02-12,38.1,28.5,33.3,BUENOS AIRES OBSERVATORIO
31,2023-02-12,36.5,27.9,32.2,AEROPARQUE AERO
1490,2023-02-13,32.6,18.7,25.65,NUEVE DE JULIO
1125,2023-02-13,36.5,22.4,29.45,MORON AERO
760,2023-02-13,34.0,22.4,28.2,EL PALOMAR AERO
395,2023-02-13,34.5,23.4,28.95,BUENOS AIRES OBSERVATORIO
30,2023-02-13,32.2,23.1,27.65,AEROPARQUE AERO
1489,2023-02-14,30.4,15.8,23.1,NUEVE DE JULIO
1124,2023-02-14,33.6,20.5,27.05,MORON AERO
759,2023-02-14,33.0,17.2,25.1,EL PALOMAR AERO
394,2023-02-14,34.0,21.5,27.75,BUENOS AIRES OBSERVATORIO
29,2023-02-14,33.8,22.8,28.3,AEROPARQUE AERO
1488,2023-02-15,33.4,12.5,22.95,NUEVE DE JULIO
1123,2023-02-15,33.0,18.4,25.7,MORON AERO
758,2023-02-15,32.5,17.7,25.1,EL PALOMAR AERO
393,2023-02-15,30.1,20.0,25.05,BUENOS AIRES OBSERVATORIO
28,2023-02-15,28.8,20.8,24.8,AEROPARQUE AERO
1487,2023-02-16,26.2,13.3,19.75,NUEVE DE JULIO
1122,2023-02-16,27.7,13.1,20.4,MORON AERO
757,2023-02-16,27.0,14.0,20.5,EL PALOMAR AERO
392,2023-02-16,27.3,14.0,20.65,BUENOS AIRES OBSERVATORIO
27,2023-02-16,27.8,14.0,20.9,AEROPARQUE AERO
1486,2023-02-17,18.4,5.8,12.1,NUEVE DE JULIO
1121,2023-02-17,16.4,6.9,11.65,MORON AERO
756,2023-02-17,17.0,7.5,12.25,EL PALOMAR AERO
391,2023-02-17,17.1,7.9,12.5,BUENOS AIRES OBSERVATORIO
26,2023-02-17,15.9,8.3,12.1,AEROPARQUE AERO
1485,2023-02-18,25.0,3.9,14.45,NUEVE DE JULIO
1120,2023-02-18,23.0,6.7,14.85,MORON AERO
755,2023-02-18,23.2,6.8,15.0,EL PALOMAR AERO
390,2023-02-18,23.3,8.8,16.05,BUENOS AIRES OBSERVATORIO
25,2023-02-18,23.7,9.4,16.55,AEROPARQUE AERO
1484,2023-02-19,28.2,6.3,17.25,NUEVE DE JULIO
1119,2023-02-19,26.3,12.4,19.35,MORON AERO
754,2023-02-19,26.5,12.3,19.4,EL PALOMAR AERO
389,2023-02-19,26.8,14.7,20.75,BUENOS AIRES OBSERVATORIO
24,2023-02-19,25.6,15.8,20.700000000000003,AEROPARQUE AERO
1483,2023-02-20,31.1,10.5,20.8,NUEVE DE JULIO
1118,2023-02-20,29.0,13.1,21.05,MORON AERO
753,2023-02-20,29.6,10.0,19.8,EL PALOMAR AERO
388,2023-02-20,29.0,15.8,22.4,BUENOS AIRES OBSERVATORIO
23,2023-02-20,27.6,18.3,22.950000000000003,AEROPARQUE AERO
1482,2023-02-21,33.6,13.6,23.6,NUEVE DE JULIO
1117,2023-02-21,30.5,19.9,25.2,MORON AERO
752,2023-02-21,31.1,18.9,25.0,EL PALOMAR AERO
387,2023-02-21,30.6,20.4,25.5,BUENOS AIRES OBSERVATORIO
22,2023-02-21,29.5,20.4,24.95,AEROPARQUE AERO
1481,2023-02-22,35.5,16.3,25.9,NUEVE DE JULIO
1116,2023-02-22,33.6,21.0,27.3,MORON AERO
